ID,Nome do produto,campo generico 1,campo generico 2,preço
1,Camiseta Básica,Algodão,M,39.90
2,Calça Jeans,Slim,Azul Escuro,129.90
3,Notebook XYZ,Intel i5,8GB RAM,2999.00
4,Mouse Óptico,USB,Preto,49.90
5,Teclado Mecânico,RGB,Gamer,349.90
6,Smartphone Alpha,128GB,Preto,1999.99
7,Monitor 24",Full HD,HDMI,849.00
8,Cadeira Gamer,Ergonômica,Preta e Vermelha,1299.00
9,Livro - Python para Iniciantes,Brochura,2023,59.90
10,Smartwatch Pulseira Tech,Sport,Preta,399.00
11,Fone Bluetooth,Intra-auricular,Branco,149.00
12,HD Externo 1TB,USB 3.0,Portátil,279.90
13,Mochila Executiva,Notebook,Cinza,199.00
14,Impressora Multifuncional,Jato de Tinta,Wi-Fi,499.00
15,Garrafa Térmica,Inox,500ml,89.90
16,Luminária LED,Touch,Branca,129.90
17,Jogo de Panelas,5 peças,Antiaderente,299.00
18,Travesseiro Ortopédico,Espuma Viscoelástica,Padrão,99.90
19,Relógio de Parede,Moderno,Silencioso,69.90
20,Batedeira Planetária,Turbo,Preta,399.90
21,Aspirador de Pó,Vertical,Sem Fio,499.00
22,Tablet 10",Android,32GB,899.00
23,Console de Videogame,500GB,Controle incluso,2499.00
24,Controle sem fio,Bluetooth,Preto,279.90
25,Cafeteira Elétrica,Programável,Inox,229.90
26,Cobertor Casal,Microfibra,Azul,119.90
27,Chuveiro Elétrico,Multitemperaturas,Branco,149.00
28,Caixa de Som Bluetooth,Portátil,Preta,199.00
29,Calculadora Científica,12 dígitos,Preta,89.90
30,Ferro de Passar,Vapor,220V,139.90
31,Tênis Esportivo,Masculino,Branco,199.90
32,Secador de Cabelo,Íons,Preto e Rosa,159.90
33,Escova Rotativa,2 em 1,Bivolt,129.00
34,Kit Ferramentas,32 peças,Maleta,109.90
35,Estabilizador 500VA,Bivolt,Preto,139.00
36,Extensão Elétrica,3 tomadas,1.5m,39.90
37,Mini Projetor,LED,USB/HDMI,429.00
38,Álbum de Fotos,Capa Dura,200 fotos,69.90
39,Jogo de Lençol,Queen,Branco,129.00
40,Caneta Tinteiro,Preta,Recarga,49.90
41,Cortina Blackout,240cmx220cm,Bege,179.00
42,Abajur de Mesa,Moderno,LED,119.00
43,Organizador de Mesa,Acrílico,Transparente,39.90
44,Tapete de Sala,150cmx200cm,Cinza,229.00
45,Suporte para Monitor,Ajustável,Madeira,89.90
46,Cadeira de Escritório,Executiva,Preta,699.00
47,Webcam HD,Plug & Play,Preta,159.00
48,Adaptador USB-C,Multifuncional,Prata,89.00
49,Espelho de Maquiagem,LED,Aumento 5x,79.90
50,Trena Digital,Laser,40m,149.90
